saves/t1/best_008_01700.dat vs saves/t1/best_006_01500.dat -> w=46, l=54, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_010_06600.dat -> w=61, l=39, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_018_10800.dat -> w=64, l=36, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_020_11800.dat -> w=69, l=31, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_025_14600.dat -> w=70, l=30, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_038_20900.dat -> w=61, l=39, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_037_19900.dat -> w=65, l=35, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_049_29500.dat -> w=47, l=53, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_046_27800.dat -> w=64, l=36, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_057_32100.dat -> w=67, l=33, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_050_29900.dat -> w=58, l=42, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_066_37500.dat -> w=36, l=63, d=1
saves/t1/best_008_01700.dat vs saves/t1/best_068_37800.dat -> w=27, l=73, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_072_39800.dat -> w=38, l=62, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_078_42300.dat -> w=70, l=30, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_088_48500.dat -> w=42, l=58, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_087_48300.dat -> w=44, l=56, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_105_62400.dat -> w=40, l=60, d=0
saves/t1/best_008_01700.dat vs saves/t1/best_091_51000.dat -> w=37, l=63, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_008_01700.dat -> w=53, l=47, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_010_06600.dat -> w=57, l=43, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_018_10800.dat -> w=75, l=25, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_020_11800.dat -> w=64, l=36, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_025_14600.dat -> w=67, l=33, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_038_20900.dat -> w=52, l=48, d=0
